Region,Resultat,Ã…r,Barnfattigdomsindex
00,3,2019,35.4
00,3,2018,34.7
00,3,2017,33.8
00,3,2016,32.6
00,3,2015,31.3
00,3,2014,30.3
00,3,2013,29.3
00,3,2012,28.3
00,3,2011,27.5
00,3,2010,26.7
00,3,2009,25.9
00,3,2008,25.0
00,1,2019,23.1
00,1,2018,23.5
00,1,2017,25.9
00,1,2016,26.6
00,1,2015,27.4
00,1,2014,28.4
00,1,2013,29.3
00,1,2012,29.1
00,1,2011,29.8
00,1,2010,31.2
00,1,2009,31.9
00,1,2008,29.5
00,2,2019,3.2
00,2,2018,3.1
00,2,2017,3.4
00,2,2016,3.6
00,2,2015,4.1
00,2,2014,4.5
00,2,2013,4.9
00,2,2012,5.2
00,2,2011,5.5
00,2,2010,6.0
00,2,2009,6.3
00,2,2008,5.4
00,1+2,2019,10.2
00,1+2,2018,10.2
00,1+2,2017,11.0
00,1+2,2016,11.1
00,1+2,2015,11.4
00,1+2,2014,11.8
00,1+2,2013,12.0
00,1+2,2012,12.0
00,1+2,2011,12.1
00,1+2,2010,12.7
00,1+2,2009,12.9
00,1+2,2008,11.5
14,3,2019,35.5
14,3,2018,34.8
14,3,2017,33.8
14,3,2016,32.7
14,3,2015,31.4
14,3,2014,30.4
14,3,2013,29.4
14,3,2012,28.3
14,3,2011,27.4
14,3,2010,26.7
14,3,2009,26.0
14,3,2008,25.3
14,1,2019,21.7
14,1,2018,22.5
14,1,2017,25.1
14,1,2016,26.3
14,1,2015,27.8
14,1,2014,29.1
14,1,2013,29.5
14,1,2012,28.9
14,1,2011,29.5
14,1,2010,30.7
14,1,2009,31.2
14,1,2008,29.1
14,2,2019,2.9
14,2,2018,2.8
14,2,2017,3.1
14,2,2016,3.4
14,2,2015,3.9
14,2,2014,4.3
14,2,2013,4.7
14,2,2012,4.9
14,2,2011,5.1
14,2,2010,5.7
14,2,2009,5.9
14,2,2008,5.1
14,1+2,2019,9.5
14,1+2,2018,9.7
14,1+2,2017,10.5
14,1+2,2016,10.9
14,1+2,2015,11.4
14,1+2,2014,11.8
14,1+2,2013,12.0
14,1+2,2012,11.7
14,1+2,2011,11.8
14,1+2,2010,12.3
14,1+2,2009,12.5
14,1+2,2008,11.1
1401,3,2019,19.9
1401,3,2018,19.6
1401,3,2017,18.8
1401,3,2016,18.1
1401,3,2015,17.2
1401,3,2014,16.9
1401,3,2013,16.7
1401,3,2012,16.4
1401,3,2011,16.5
1401,3,2010,16.3
1401,3,2009,16.0
1401,3,2008,16.2
1401,1,2019,10.1
1401,1,2018,12.2
1401,1,2017,13.4
1401,1,2016,11.3
1401,1,2015,10.9
1401,1,2014,12.4
1401,1,2013,12.0
1401,1,2012,11.3
1401,1,2011,14.6
1401,1,2010,14.1
1401,1,2009,14.3
1401,1,2008,15.1
1401,2,2019,1.2
1401,2,2018,1.3
1401,2,2017,1.8
1401,2,2016,1.6
1401,2,2015,1.9
1401,2,2014,1.9
1401,2,2013,2.4
1401,2,2012,2.1
1401,2,2011,2.8
1401,2,2010,3.5
1401,2,2009,3.1
1401,2,2008,2.8
1401,1+2,2019,3.0
1401,1+2,2018,3.5
1401,1+2,2017,3.9
1401,1+2,2016,3.4
1401,1+2,2015,3.5
1401,1+2,2014,3.7
1401,1+2,2013,4.0
1401,1+2,2012,3.6
1401,1+2,2011,4.8
1401,1+2,2010,5.2
1401,1+2,2009,4.9
1401,1+2,2008,4.8
1402,3,2019,31.7
1402,3,2018,30.9
1402,3,2017,29.4
1402,3,2016,28.1
1402,3,2015,26.4
1402,3,2014,25.3
1402,3,2013,24.5
1402,3,2012,24.2
1402,3,2011,23.8
1402,3,2010,23.5
1402,3,2009,23.4
1402,3,2008,22.8
1402,1,2019,13.3
1402,1,2018,14.3
1402,1,2017,14.2
1402,1,2016,13.7
1402,1,2015,12.4
1402,1,2014,14.3
1402,1,2013,14.1
1402,1,2012,14.5
1402,1,2011,14.1
1402,1,2010,15.1
1402,1,2009,17.1
1402,1,2008,15.6
1402,2,2019,1.4
1402,2,2018,1.5
1402,2,2017,1.7
1402,2,2016,2.1
1402,2,2015,2.1
1402,2,2014,2.6
1402,2,2013,2.4
1402,2,2012,2.7
1402,2,2011,2.9
1402,2,2010,3.5
1402,2,2009,3.9
1402,2,2008,3.4
1402,1+2,2019,5.1
1402,1+2,2018,5.4
1402,1+2,2017,5.4
1402,1+2,2016,5.4
1402,1+2,2015,4.8
1402,1+2,2014,5.5
1402,1+2,2013,5.3
1402,1+2,2012,5.6
1402,1+2,2011,5.6
1402,1+2,2010,6.2
1402,1+2,2009,7.0
1402,1+2,2008,6.1
1407,3,2019,14.2
1407,3,2018,13.7
1407,3,2017,12.5
1407,3,2016,10.9
1407,3,2015,9.5
1407,3,2014,9.5
1407,3,2013,9.2
1407,3,2012,8.9
1407,3,2011,8.3
1407,3,2010,7.8
1407,3,2009,7.5
1407,3,2008,7.4
1407,1,2019,20.5
1407,1,2018,20.3
1407,1,2017,16.1
1407,1,2016,21.6
1407,1,2015,13.2
1407,1,2014,15.3
1407,1,2013,15.3
1407,1,2012,13.6
1407,1,2011,11.7
1407,1,2010,11.3
1407,1,2009,14.2
1407,1,2008,15.0
1407,2,2019,1.7
1407,2,2018,2.3
1407,2,2017,3.1
1407,2,2016,2.8
1407,2,2015,3.2
1407,2,2014,2.9
1407,2,2013,3.9
1407,2,2012,3.9
1407,2,2011,3.8
1407,2,2010,4.4
1407,2,2009,4.8
1407,2,2008,4.0
1407,1+2,2019,4.4
1407,1+2,2018,4.7
1407,1+2,2017,4.7
1407,1+2,2016,4.8
1407,1+2,2015,4.1
1407,1+2,2014,4.1
1407,1+2,2013,5.0
1407,1+2,2012,4.8
1407,1+2,2011,4.4
1407,1+2,2010,5.0
1407,1+2,2009,5.5
1407,1+2,2008,4.8
1415,3,2019,20.4
1415,3,2018,20.2
1415,3,2017,19.3
1415,3,2016,18.0
1415,3,2015,16.7
1415,3,2014,16.2
1415,3,2013,15.5
1415,3,2012,15.3
1415,3,2011,15.3
1415,3,2010,14.7
1415,3,2009,14.2
1415,3,2008,14.0
1415,1,2019,17.7
1415,1,2018,15.5
1415,1,2017,17.9
1415,1,2016,17.6
1415,1,2015,17.0
1415,1,2014,19.5
1415,1,2013,15.9
1415,1,2012,17.5
1415,1,2011,17.8
1415,1,2010,19.1
1415,1,2009,17.8
1415,1,2008,17.4
1415,2,2019,2.3
1415,2,2018,2.1
1415,2,2017,2.2
1415,2,2016,2.2
1415,2,2015,2.2
1415,2,2014,2.6
1415,2,2013,3.3
1415,2,2012,4.3
1415,2,2011,4.2
1415,2,2010,4.6
1415,2,2009,4.4
1415,2,2008,4.3
1415,1+2,2019,5.4
1415,1+2,2018,4.8
1415,1+2,2017,5.2
1415,1+2,2016,5.0
1415,1+2,2015,4.7
1415,1+2,2014,5.3
1415,1+2,2013,5.2
1415,1+2,2012,6.3
1415,1+2,2011,6.3
1415,1+2,2010,6.7
1415,1+2,2009,6.3
1415,1+2,2008,6.1
1419,3,2019,18.1
1419,3,2018,17.9
1419,3,2017,16.7
1419,3,2016,15.7
1419,3,2015,14.2
1419,3,2014,13.8
1419,3,2013,13.1
1419,3,2012,11.8
1419,3,2011,11.7
1419,3,2010,11.8
1419,3,2009,12.1
1419,3,2008,11.4
1419,1,2019,20.2
1419,1,2018,21.2
1419,1,2017,22.9
1419,1,2016,18.3
1419,1,2015,20.1
1419,1,2014,23.6
1419,1,2013,16.0
1419,1,2012,18.9
1419,1,2011,18.2
1419,1,2010,20.9
1419,1,2009,26.5
1419,1,2008,22.2
1419,2,2019,2.9
1419,2,2018,3.2
1419,2,2017,3.1
1419,2,2016,3.8
1419,2,2015,4.5
1419,2,2014,4.7
1419,2,2013,4.9
1419,2,2012,5.0
1419,2,2011,5.3
1419,2,2010,6.8
1419,2,2009,6.2
1419,2,2008,5.3
1419,1+2,2019,6.1
1419,1+2,2018,6.4
1419,1+2,2017,6.4
1419,1+2,2016,6.0
1419,1+2,2015,6.7
1419,1+2,2014,7.3
1419,1+2,2013,6.3
1419,1+2,2012,6.7
1419,1+2,2011,6.8
1419,1+2,2010,8.5
1419,1+2,2009,8.6
1419,1+2,2008,7.3
1421,3,2019,18.0
1421,3,2018,17.0
1421,3,2017,17.0
1421,3,2016,15.3
1421,3,2015,14.7
1421,3,2014,14.3
1421,3,2013,13.1
1421,3,2012,12.6
1421,3,2011,11.7
1421,3,2010,11.6
1421,3,2009,11.7
1421,3,2008,10.7
1421,1,2019,16.9
1421,1,2018,19.5
1421,1,2017,23.6
1421,1,2016,26.3
1421,1,2015,23.3
1421,1,2014,21.5
1421,1,2013,20.3
1421,1,2012,19.8
1421,1,2011,15.1
1421,1,2010,17.9
1421,1,2009,15.8
1421,1,2008,13.7
1421,2,2019,3.7
1421,2,2018,3.4
1421,2,2017,3.8
1421,2,2016,5.4
1421,2,2015,5.1
1421,2,2014,4.8
1421,2,2013,5.9
1421,2,2012,5.4
1421,2,2011,5.4
1421,2,2010,5.9
1421,2,2009,8.3
1421,2,2008,6.5
1421,1+2,2019,6.0
1421,1+2,2018,6.2
1421,1+2,2017,7.2
1421,1+2,2016,8.6
1421,1+2,2015,7.7
1421,1+2,2014,7.2
1421,1+2,2013,7.8
1421,1+2,2012,7.2
1421,1+2,2011,6.5
1421,1+2,2010,7.3
1421,1+2,2009,9.1
1421,1+2,2008,7.3
1427,3,2019,22.2
1427,3,2018,21.6
1427,3,2017,20.2
1427,3,2016,17.9
1427,3,2015,16.6
1427,3,2014,16.9
1427,3,2013,17.3
1427,3,2012,16.5
1427,3,2011,15.3
1427,3,2010,14.5
1427,3,2009,13.9
1427,3,2008,12.3
1427,1,2019,20.7
1427,1,2018,25.6
1427,1,2017,25.6
1427,1,2016,22.3
1427,1,2015,10.0
1427,1,2014,16.1
1427,1,2013,16.5
1427,1,2012,16.7
1427,1,2011,17.6
1427,1,2010,19.5
1427,1,2009,16.2
1427,1,2008,13.8
1427,2,2019,4.9
1427,2,2018,5.0
1427,2,2017,5.8
1427,2,2016,5.7
1427,2,2015,6.5
1427,2,2014,6.3
1427,2,2013,6.5
1427,2,2012,8.1
1427,2,2011,8.5
1427,2,2010,9.0
1427,2,2009,7.8
1427,2,2008,6.9
1427,1+2,2019,8.4
1427,1+2,2018,9.4
1427,1+2,2017,9.8
1427,1+2,2016,8.6
1427,1+2,2015,7.1
1427,1+2,2014,8.0
1427,1+2,2013,8.2
1427,1+2,2012,9.6
1427,1+2,2011,9.9
1427,1+2,2010,10.5
1427,1+2,2009,8.9
1427,1+2,2008,7.8
1430,3,2019,22.8
1430,3,2018,23.4
1430,3,2017,22.3
1430,3,2016,20.5
1430,3,2015,17.3
1430,3,2014,15.7
1430,3,2013,15.0
1430,3,2012,14.8
1430,3,2011,14.4
1430,3,2010,14.1
1430,3,2009,13.8
1430,3,2008,13.6
1430,1,2019,25.8
1430,1,2018,33.0
1430,1,2017,32.8
1430,1,2016,31.9
1430,1,2015,29.2
1430,1,2014,32.1
1430,1,2013,32.3
1430,1,2012,32.7
1430,1,2011,33.8
1430,1,2010,35.6
1430,1,2009,42.4
1430,1,2008,39.2
1430,2,2019,5.0
1430,2,2018,4.2
1430,2,2017,4.3
1430,2,2016,4.7
1430,2,2015,7.2
1430,2,2014,7.4
1430,2,2013,8.8
1430,2,2012,6.9
1430,2,2011,8.5
1430,2,2010,9.7
1430,2,2009,9.5
1430,2,2008,9.2
1430,1+2,2019,9.7
1430,1+2,2018,10.9
1430,1+2,2017,10.7
1430,1+2,2016,10.3
1430,1+2,2015,11.0
1430,1+2,2014,11.3
1430,1+2,2013,12.3
1430,1+2,2012,10.7
1430,1+2,2011,12.2
1430,1+2,2010,13.3
1430,1+2,2009,14.0
1430,1+2,2008,13.2
1435,3,2019,26.6
1435,3,2018,27.6
1435,3,2017,26.0
1435,3,2016,23.4
1435,3,2015,21.6
1435,3,2014,19.8
1435,3,2013,19.0
1435,3,2012,18.8
1435,3,2011,18.1
1435,3,2010,18.0
1435,3,2009,16.4
1435,3,2008,15.4
1435,1,2019,28.7
1435,1,2018,33.0
1435,1,2017,35.7
1435,1,2016,34.5
1435,1,2015,35.4
1435,1,2014,31.9
1435,1,2013,30.0
1435,1,2012,27.8
1435,1,2011,33.1
1435,1,2010,32.1
1435,1,2009,33.0
1435,1,2008,29.7
1435,2,2019,5.4
1435,2,2018,4.7
1435,2,2017,6.2
1435,2,2016,5.5
1435,2,2015,5.7
1435,2,2014,6.8
1435,2,2013,5.6
1435,2,2012,7.3
1435,2,2011,8.2
1435,2,2010,8.5
1435,2,2009,8.2
1435,2,2008,7.4
1435,1+2,2019,11.5
1435,1+2,2018,12.5
1435,1+2,2017,13.9
1435,1+2,2016,12.3
1435,1+2,2015,12.1
1435,1+2,2014,11.8
1435,1+2,2013,10.3
1435,1+2,2012,11.1
1435,1+2,2011,12.7
1435,1+2,2010,12.7
1435,1+2,2009,12.3
1435,1+2,2008,10.9
1438,3,2019,25.6
1438,3,2018,26.3
1438,3,2017,24.9
1438,3,2016,24.9
1438,3,2015,25.5
1438,3,2014,23.0
1438,3,2013,22.1
1438,3,2012,18.8
1438,3,2011,20.1
1438,3,2010,19.2
1438,3,2009,20.0
1438,3,2008,21.4
1438,1,2019,31.5
1438,1,2018,29.0
1438,1,2017,36.0
1438,1,2016,37.7
1438,1,2015,33.3
1438,1,2014,34.8
1438,1,2013,34.7
1438,1,2012,19.9
1438,1,2011,28.8
1438,1,2010,25.9
1438,1,2009,29.8
1438,1,2008,28.8
1438,2,2019,8.6
1438,2,2018,7.0
1438,2,2017,7.5
1438,2,2016,9.2
1438,2,2015,8.3
1438,2,2014,9.2
1438,2,2013,11.9
1438,2,2012,10.4
1438,2,2011,8.9
1438,2,2010,13.8
1438,2,2009,11.1
1438,2,2008,9.9
1438,1+2,2019,14.5
1438,1+2,2018,12.8
1438,1+2,2017,14.6
1438,1+2,2016,16.3
1438,1+2,2015,14.7
1438,1+2,2014,15.1
1438,1+2,2013,16.9
1438,1+2,2012,12.1
1438,1+2,2011,12.9
1438,1+2,2010,16.1
1438,1+2,2009,14.8
1438,1+2,2008,13.9
1439,3,2019,24.3
1439,3,2018,23.8
1439,3,2017,23.2
1439,3,2016,23.6
1439,3,2015,20.4
1439,3,2014,17.6
1439,3,2013,18.2
1439,3,2012,16.2
1439,3,2011,17.0
1439,3,2010,16.3
1439,3,2009,15.1
1439,3,2008,14.8
1439,1,2019,27.4
1439,1,2018,37.6
1439,1,2017,53.9
1439,1,2016,49.2
1439,1,2015,47.7
1439,1,2014,40.6
1439,1,2013,33.2
1439,1,2012,32.3
1439,1,2011,30.4
1439,1,2010,41.8
1439,1,2009,45.4
1439,1,2008,41.1
1439,2,2019,4.2
1439,2,2018,6.9
1439,2,2017,6.9
1439,2,2016,9.0
1439,2,2015,8.4
1439,2,2014,10.8
1439,2,2013,9.6
1439,2,2012,9.3
1439,2,2011,7.4
1439,2,2010,7.2
1439,2,2009,7.6
1439,2,2008,6.7
1439,1+2,2019,9.8
1439,1+2,2018,14.2
1439,1+2,2017,17.8
1439,1+2,2016,18.5
1439,1+2,2015,16.4
1439,1+2,2014,16.1
1439,1+2,2013,13.8
1439,1+2,2012,13.0
1439,1+2,2011,11.3
1439,1+2,2010,12.9
1439,1+2,2009,13.3
1439,1+2,2008,11.8
1440,3,2019,31.4
1440,3,2018,29.8
1440,3,2017,28.5
1440,3,2016,26.6
1440,3,2015,25.4
1440,3,2014,24.4
1440,3,2013,23.5
1440,3,2012,22.8
1440,3,2011,21.7
1440,3,2010,21.6
1440,3,2009,22.4
1440,3,2008,22.2
1440,1,2019,13.2
1440,1,2018,12.7
1440,1,2017,14.8
1440,1,2016,14.7
1440,1,2015,14.9
1440,1,2014,15.1
1440,1,2013,15.1
1440,1,2012,15.0
1440,1,2011,13.0
1440,1,2010,17.1
1440,1,2009,18.0
1440,1,2008,15.8
1440,2,2019,2.4
1440,2,2018,2.1
1440,2,2017,2.1
1440,2,2016,2.3
1440,2,2015,3.1
1440,2,2014,3.6
1440,2,2013,4.1
1440,2,2012,3.9
1440,2,2011,4.4
1440,2,2010,4.7
1440,2,2009,5.7
1440,2,2008,5.4
1440,1+2,2019,5.8
1440,1+2,2018,5.3
1440,1+2,2017,5.7
1440,1+2,2016,5.6
1440,1+2,2015,6.1
1440,1+2,2014,6.4
1440,1+2,2013,6.7
1440,1+2,2012,6.4
1440,1+2,2011,6.3
1440,1+2,2010,7.4
1440,1+2,2009,8.4
1440,1+2,2008,7.7
1441,3,2019,20.2
1441,3,2018,19.5
1441,3,2017,19.2
1441,3,2016,18.0
1441,3,2015,17.3
1441,3,2014,17.0
1441,3,2013,16.3
1441,3,2012,16.5
1441,3,2011,16.2
1441,3,2010,15.8
1441,3,2009,15.6
1441,3,2008,15.0
1441,1,2019,14.8
1441,1,2018,15.2
1441,1,2017,14.1
1441,1,2016,11.4
1441,1,2015,13.5
1441,1,2014,14.3
1441,1,2013,13.3
1441,1,2012,14.8
1441,1,2011,13.4
1441,1,2010,14.5
1441,1,2009,14.3
1441,1,2008,12.1
1441,2,2019,1.5
1441,2,2018,1.4
1441,2,2017,1.7
1441,2,2016,2.1
1441,2,2015,2.5
1441,2,2014,3.2
1441,2,2013,3.0
1441,2,2012,3.5
1441,2,2011,3.2
1441,2,2010,3.8
1441,2,2009,4.5
1441,2,2008,3.9
1441,1+2,2019,4.2
1441,1+2,2018,4.1
1441,1+2,2017,4.1
1441,1+2,2016,3.7
1441,1+2,2015,4.4
1441,1+2,2014,5.1
1441,1+2,2013,4.7
1441,1+2,2012,5.3
1441,1+2,2011,4.8
1441,1+2,2010,5.5
1441,1+2,2009,6.0
1441,1+2,2008,5.1
1442,3,2019,24.0
1442,3,2018,23.0
1442,3,2017,22.1
1442,3,2016,20.8
1442,3,2015,19.5
1442,3,2014,19.4
1442,3,2013,18.2
1442,3,2012,17.6
1442,3,2011,17.6
1442,3,2010,17.5
1442,3,2009,17.6
1442,3,2008,17.2
1442,1,2019,22.5
1442,1,2018,18.2
1442,1,2017,24.1
1442,1,2016,24.3
1442,1,2015,25.6
1442,1,2014,28.2
1442,1,2013,26.0
1442,1,2012,24.7
1442,1,2011,27.9
1442,1,2010,35.0
1442,1,2009,36.3
1442,1,2008,31.0
1442,2,2019,2.2
1442,2,2018,2.4
1442,2,2017,2.6
1442,2,2016,3.4
1442,2,2015,4.3
1442,2,2014,4.1
1442,2,2013,5.3
1442,2,2012,3.7
1442,2,2011,5.2
1442,2,2010,5.8
1442,2,2009,6.2
1442,2,2008,5.5
1442,1+2,2019,7.1
1442,1+2,2018,6.0
1442,1+2,2017,7.3
1442,1+2,2016,7.8
1442,1+2,2015,8.5
1442,1+2,2014,8.8
1442,1+2,2013,9.1
1442,1+2,2012,7.4
1442,1+2,2011,9.2
1442,1+2,2010,10.9
1442,1+2,2009,11.5
1442,1+2,2008,9.9
1443,3,2019,20.5
1443,3,2018,19.6
1443,3,2017,18.6
1443,3,2016,17.6
1443,3,2015,16.5
1443,3,2014,15.9
1443,3,2013,15.9
1443,3,2012,15.4
1443,3,2011,14.8
1443,3,2010,15.4
1443,3,2009,15.0
1443,3,2008,14.8
1443,1,2019,20.4
1443,1,2018,17.5
1443,1,2017,18.4
1443,1,2016,20.3
1443,1,2015,20.5
1443,1,2014,21.7
1443,1,2013,18.7
1443,1,2012,18.9
1443,1,2011,16.1
1443,1,2010,14.3
1443,1,2009,19.2
1443,1,2008,14.5
1443,2,2019,2.1
1443,2,2018,2.0
1443,2,2017,1.5
1443,2,2016,2.4
1443,2,2015,2.8
1443,2,2014,2.9
1443,2,2013,2.7
1443,2,2012,3.4
1443,2,2011,3.4
1443,2,2010,4.5
1443,2,2009,3.9
1443,2,2008,3.4
1443,1+2,2019,5.8
1443,1+2,2018,5.0
1443,1+2,2017,4.7
1443,1+2,2016,5.5
1443,1+2,2015,5.7
1443,1+2,2014,5.9
1443,1+2,2013,5.2
1443,1+2,2012,5.8
1443,1+2,2011,5.3
1443,1+2,2010,6.0
1443,1+2,2009,6.2
1443,1+2,2008,5.1
1444,3,2019,14.4
1444,3,2018,14.4
1444,3,2017,14.9
1444,3,2016,16.1
1444,3,2015,15.6
1444,3,2014,14.0
1444,3,2013,12.4
1444,3,2012,12.3
